X,Y,Cell Type,0,1,Cell_Num_Old
-1.345209840022724,-2.066327987590291,1,0,1,40
-0.442770019476562,-1.8730085636330989,0,1,0,41
0.6021773225111149,-2.03504205434591,1,0,1,42
1.5177051721380002,-2.089002464428215,0,1,0,43
2.202652383316952,-1.9838026554762118,1,0,1,44
3.1167551434210328,-2.327885578850023,0,1,0,45
4.277865967637366,-2.537706784462664,1,0,1,46
5.133014600138615,-2.769841411947011,0,1,0,47
-5.223385940524387,-1.4419764146174403,0,1,0,48
-4.107277309250628,-1.4004014113306154,1,0,1,49
-3.176677459122008,-1.3426436140722435,0,1,0,50
-2.3045104325435037,-1.3892141680091372,1,0,1,51
-1.350384040420236,-1.3379785503103951,0,1,0,52
-0.5412512549627264,-1.3009260099143471,1,0,1,53
0.4155571963853495,-1.3236415721746848,0,1,0,54
1.4841300072159553,-1.1688231087080787,1,0,1,55
2.383367599974827,-1.2949275988822526,0,1,0,56
3.2327528293082963,-1.4283253788315369,1,0,1,57
4.156849014157716,-1.4613154598745526,0,1,0,58
5.099775923538493,-1.601657238154437,1,0,1,59
-4.931675889858436,-0.4141405246396985,1,0,1,60
-3.889955736743068,-0.4520879732611043,0,1,0,61
-3.0045455204246405,-0.4637183341662672,1,0,1,62
-2.141231306187778,-0.5255713356730762,0,1,0,63
-1.234537004895241,-0.532230470353424,1,0,1,64
-0.43083376784641825,-0.5762312083897374,0,1,0,65
0.456496923870386,-0.6066970511105021,1,0,1,66
1.452612610405815,-0.4655111041595763,0,1,0,67
2.3995611588903927,-0.5813024492254835,1,0,1,68
3.204218783423908,-0.7113625042175817,0,1,0,69
3.96124819599644,-0.629387397778495,1,0,1,70
4.941016094621988,-0.5846449121619539,0,1,0,71
-4.86551008714015,0.5991573663405063,0,1,0,72
-3.8480029964873035,0.46264864663823957,1,0,1,73
-2.9495455577139973,0.31223809240020106,0,1,0,74
-2.156664945468272,0.34037852073763375,1,0,1,75
-1.3355769225066334,0.41577543888778745,0,1,0,76
-0.3924113402115088,0.3551746847216206,1,0,1,77
0.6191894646585432,0.267567012092778,0,1,0,78
1.3679012590889696,0.273659205962141,1,0,1,79
2.0807329235199656,0.369697651875053,0,1,0,80
3.0039474420917855,0.35779942959736033,1,0,1,81
3.8655280290496243,0.40160293373803224,0,1,0,82
4.866101644102823,0.513038057289875,1,0,1,83
-4.994227520055562,1.5943161551313167,1,0,1,84
-3.9004102476900018,1.4440067185447187,0,1,0,85
-2.882196379661904,1.2814866939672802,1,0,1,86
-2.135305880105047,1.309092214761554,0,1,0,87
-1.567034740555802,1.3761733317457372,1,0,1,88
-0.7463988191226552,1.293511873767951,0,1,0,89
0.34495821337614174,1.2644889617548944,1,0,1,90
1.203659358353736,1.2958961793808292,0,1,0,91
1.9752790383059304,1.4419053471027237,1,0,1,92
3.0608671778510104,1.4541408722090212,0,1,0,93
4.037966549315339,1.390889384607651,1,0,1,94
4.919179762485626,1.3885872314387893,0,1,0,95
-5.063197481857346,2.5078857438374103,0,1,0,96
-3.85041394372855,2.334976388528534,1,0,1,97
-2.8536082652420873,2.229471921069096,0,1,0,98
-2.0578934487271034,2.2481523992457815,1,0,1,99
-1.403505504298865,2.2954686466662126,0,1,0,100
-0.6666298729387599,2.173210000159762,1,0,1,101
0.2983653706738103,2.2086057451953396,0,1,0,102
1.269887151014144,2.335859054097491,1,0,1,103
2.2765905033399356,2.426768825305051,0,1,0,104
3.3815181311922125,2.4116038014783863,1,0,1,105
4.300726425431817,2.283934058187893,0,1,0,106
5.026612433662409,2.050062787999633,1,0,1,107
-4.987601787233307,3.2554682072410133,1,0,1,108
-3.860005396993226,3.1986198119752727,0,1,0,109
-3.0700806387477457,3.1083328604232596,1,0,1,110
-2.1766407394652316,3.0690358806325255,0,1,0,111
-1.3585184663977028,3.073733734008697,1,0,1,112
-0.5051637053637856,2.982371207943772,0,1,0,113
0.379022811847765,3.0888647691722566,1,0,1,114
1.3555952525002848,3.2411805003110628,0,1,0,115
2.4910584564704976,3.258098009345793,1,0,1,116
3.5460654169166066,3.196981367701979,0,1,0,117
4.463981347328389,3.1395351238856604,1,0,1,118
5.223088645168927,3.049704165725047,0,1,0,119
-5.032831048455739,3.941688408224688,0,1,0,120
-4.086271814029329,4.145905332429849,1,0,1,121
-3.1748265275284346,4.098466762801199,0,1,0,122
-2.087769419237326,3.957957100179839,1,0,1,123
-1.3107928669858033,3.9485540549494678,0,1,0,124
-0.4494644952129372,3.9423984272108354,1,0,1,125
0.4617458990157992,4.000085523779284,0,1,0,126
1.4158206436496172,4.070269889624439,1,0,1,127
2.431545510609382,4.1084239746333155,0,1,0,128
3.357353811194516,4.171063121534499,1,0,1,129
4.244400744330015,4.153330457149768,0,1,0,130
5.03251029569285,4.128577926741962,1,0,1,131
-5.033988584667435,4.887403543172344,1,0,1,132
-4.199745306529115,5.075740852443617,0,1,0,133
-3.1939288377035497,4.940983285306182,1,0,1,134
-2.210173084716589,4.832834121199668,0,1,0,135
-1.462145507446266,4.889484362794282,1,0,1,136
-0.5124365151118342,4.9677010767660414,0,1,0,137
0.4996997395782943,5.041015723523029,1,0,1,138
1.4081532537825403,5.165432398908535,0,1,0,139
2.29337334301014,5.130168077904021,1,0,1,140
3.19529491437266,5.067240608951043,0,1,0,141
4.140522911982455,4.9884389146916535,1,0,1,142
4.879183373194811,4.893616705316814,0,1,0,143
