aligned_idx,ref_idx,0,1,X,Y,ref_X,ref_Y,Ref_Cell_Num_Old,Aligned_Cell_Num_Old,time_limit_reached,triangle_violation,filtered_violation,run_time
18,18,0,1,0.4706213500650147,-4.1419229832466335,0.45454545454545414,-4.090909090909091,18,18,False,False,False,9.069302082061768
19,19,1,0,1.1299213113531952,-4.064943317358255,1.3636363636363633,-4.090909090909091,19,19,False,False,False,9.069302082061768
20,20,0,1,2.5807771472928085,-3.6738404918729186,2.2727272727272734,-4.090909090909091,20,20,False,False,False,9.069302082061768
21,21,1,0,3.677756298402363,-3.775851131538901,3.1818181818181817,-4.090909090909091,21,21,False,True,True,9.069302082061768
22,22,0,1,4.490676491513563,-3.115595449842873,4.09090909090909,-4.090909090909091,22,22,False,True,True,9.069302082061768
23,23,1,0,5.702213741100243,-2.914381333012824,5.0,-4.090909090909091,23,23,False,False,False,9.069302082061768
24,24,1,0,-5.257525020326483,-3.1186980605396344,-5.0,-3.1818181818181817,24,24,False,False,False,9.069302082061768
25,25,0,1,-4.478373425683348,-3.1992078829752026,-4.090909090909091,-3.1818181818181817,25,25,False,False,False,9.069302082061768
26,26,1,0,-3.33286369615904,-3.407010611374795,-3.1818181818181817,-3.1818181818181817,26,26,False,False,False,9.069302082061768
27,27,0,1,-2.3648779731267178,-3.4793900681004706,-2.2727272727272734,-3.1818181818181817,27,27,False,False,False,9.069302082061768
28,28,1,0,-1.4879684314200503,-3.273645274085504,-1.3636363636363633,-3.1818181818181817,28,28,False,False,False,9.069302082061768
29,29,0,1,-0.4961631296359146,-2.9621162979655296,-0.45454545454545503,-3.1818181818181817,29,29,False,False,False,9.069302082061768
30,30,1,0,0.5052170131563178,-3.0243378031069597,0.45454545454545414,-3.1818181818181817,30,30,False,False,False,9.069302082061768
31,31,0,1,1.2577264503654106,-3.0603570391759476,1.3636363636363633,-3.1818181818181817,31,31,False,False,False,9.069302082061768
32,32,1,0,2.201014400399796,-2.4205386212692996,2.2727272727272734,-3.1818181818181817,32,32,False,False,False,9.069302082061768
33,33,0,1,3.511973183526255,-2.420268107417245,3.1818181818181817,-3.1818181818181817,33,33,False,False,False,9.069302082061768
34,34,1,0,4.5272972240156655,-3.2013354269023906,4.09090909090909,-3.1818181818181817,34,34,False,True,True,9.069302082061768
35,35,0,1,4.903918161860316,-2.911600022175329,5.0,-3.1818181818181817,35,35,False,True,True,9.069302082061768
36,36,0,1,-5.413151288685937,-2.3442172812333437,-5.0,-2.2727272727272734,36,36,False,False,False,9.069302082061768
37,37,1,0,-4.388133711076036,-2.2226741367878162,-4.090909090909091,-2.2727272727272734,37,37,False,False,False,9.069302082061768
38,38,0,1,-3.3191698173993327,-2.341542722186282,-3.1818181818181817,-2.2727272727272734,38,38,False,False,False,9.069302082061768
39,39,1,0,-2.417751337899886,-2.3856645997534924,-2.2727272727272734,-2.2727272727272734,39,39,False,False,False,9.069302082061768
40,40,0,1,-1.4183466274037375,-2.1235110792373835,-1.3636363636363633,-2.2727272727272734,40,40,False,False,False,9.069302082061768
41,41,1,0,-0.5159068068575756,-1.9301916552801917,-0.45454545454545503,-2.2727272727272734,41,41,False,False,False,9.069302082061768
42,42,0,1,0.5290405351301013,-2.0922251459930026,0.45454545454545414,-2.2727272727272734,42,42,False,False,False,9.069302082061768
43,43,1,0,1.4445683847569875,-2.1461855560753076,1.3636363636363633,-2.2727272727272734,43,43,False,False,False,9.069302082061768
44,44,0,1,2.8505767077870843,-1.1870484417997123,2.2727272727272734,-2.2727272727272734,44,44,False,True,True,9.069302082061768
45,45,1,0,4.012799018917091,-2.1515408688090165,3.1818181818181817,-2.2727272727272734,45,45,False,False,False,9.069302082061768
46,46,0,1,4.652491266240201,-1.7430416973637968,4.09090909090909,-2.2727272727272734,46,46,False,False,False,9.069302082061768
47,47,1,0,5.784828124549183,-2.776902031707964,5.0,-2.2727272727272734,47,47,False,False,False,9.069302082061768
48,48,1,0,-5.296522727905401,-1.499159506264533,-5.0,-1.3636363636363633,48,48,False,False,False,9.069302082061768
49,49,0,1,-4.180414096631641,-1.4575845029777081,-4.090909090909091,-1.3636363636363633,49,49,False,False,False,9.069302082061768
50,50,1,0,-3.2498142465030218,-1.3998267057193363,-3.1818181818181817,-1.3636363636363633,50,50,False,False,False,9.069302082061768
51,51,0,1,-2.3776472199245173,-1.44639725965623,-2.2727272727272734,-1.3636363636363633,51,51,False,False,False,9.069302082061768
52,52,1,0,-1.4235208278012497,-1.395161641957488,-1.3636363636363633,-1.3636363636363633,52,52,False,False,False,9.069302082061768
53,53,0,1,-0.61438804234374,-1.35810910156144,-0.45454545454545503,-1.3636363636363633,53,53,False,False,False,9.069302082061768
54,54,1,0,0.3424204090043359,-1.3808246638217776,0.45454545454545414,-1.3636363636363633,54,54,False,False,False,9.069302082061768
55,55,0,1,1.4109932198349426,-1.2260062003551715,1.3636363636363633,-1.3636363636363633,55,55,False,False,False,9.069302082061768
56,56,1,0,2.3102308125938134,-1.3521106905293454,2.2727272727272734,-1.3636363636363633,56,56,False,True,True,9.069302082061768
57,57,0,1,3.1596160419272827,-1.4855084704786297,3.1818181818181817,-1.3636363636363633,57,57,False,True,True,9.069302082061768
58,58,1,0,4.0837122267767025,-1.5184985515216454,4.09090909090909,-1.3636363636363633,58,58,False,False,False,9.069302082061768
59,59,0,1,5.026639136157479,-1.6588403298015297,5.0,-1.3636363636363633,59,59,False,False,False,9.069302082061768
60,60,0,1,-5.00481267723945,-0.4713236162867913,-5.0,-0.45454545454545503,60,60,False,False,False,9.069302082061768
61,61,1,0,-3.9630925241240815,-0.5092710649081971,-4.090909090909091,-0.45454545454545503,61,61,False,False,False,9.069302082061768
62,62,0,1,-3.077682307805654,-0.52090142581336,-3.1818181818181817,-0.45454545454545503,62,62,False,False,False,9.069302082061768
63,63,1,0,-2.214368093568792,-0.582754427320169,-2.2727272727272734,-0.45454545454545503,63,63,False,False,False,9.069302082061768
64,64,0,1,-1.3076737922762547,-0.5894135620005168,-1.3636363636363633,-0.45454545454545503,64,64,False,False,False,9.069302082061768
65,65,1,0,-0.5039705552274318,-0.6334143000368302,-0.45454545454545503,-0.45454545454545503,65,65,False,False,False,9.069302082061768
66,66,0,1,0.3833601364893724,-0.6638801427575949,0.45454545454545414,-0.45454545454545503,66,66,False,False,False,9.069302082061768
67,67,1,0,1.3794758230248014,-0.5226941958066691,1.3636363636363633,-0.45454545454545503,67,67,False,False,False,9.069302082061768
68,68,0,1,2.326424371509379,-0.6384855408725763,2.2727272727272734,-0.45454545454545503,68,68,False,False,False,9.069302082061768
69,69,1,0,3.1310819960428944,-0.7685455958646745,3.1818181818181817,-0.45454545454545503,69,69,False,False,False,9.069302082061768
70,70,0,1,3.8881114086154263,-0.6865704894255877,4.09090909090909,-0.45454545454545503,70,70,False,False,False,9.069302082061768
71,71,1,0,4.867879307240974,-0.6418280038090467,5.0,-0.45454545454545503,71,71,False,False,False,9.069302082061768
72,72,1,0,-4.938646874521163,0.5419742746934135,-5.0,0.45454545454545414,72,72,False,False,False,9.069302082061768
73,73,0,1,-3.921139783868317,0.4054655549911468,-4.090909090909091,0.45454545454545414,73,73,False,False,False,9.069302082061768
74,74,1,0,-3.022682345095011,0.2550550007531083,-3.1818181818181817,0.45454545454545414,74,74,False,False,False,9.069302082061768
75,75,0,1,-2.2298017328492854,0.28319542909054096,-2.2727272727272734,0.45454545454545414,75,75,False,False,False,9.069302082061768
76,76,1,0,-1.408713709887647,0.35859234724069466,-1.3636363636363633,0.45454545454545414,76,76,False,False,False,9.069302082061768
77,77,0,1,-0.4655481275925224,0.2979915930745278,-0.45454545454545503,0.45454545454545414,77,77,False,False,False,9.069302082061768
78,78,1,0,0.5460526772775296,0.2103839204456852,0.45454545454545414,0.45454545454545414,78,78,False,False,False,9.069302082061768
79,79,0,1,1.294764471707957,0.2164761143150482,1.3636363636363633,0.45454545454545414,79,79,False,False,False,9.069302082061768
80,80,1,0,2.007596136138952,0.3125145602279602,2.2727272727272734,0.45454545454545414,80,80,False,False,False,9.069302082061768
81,81,0,1,2.930810654710772,0.30061633795026754,3.1818181818181817,0.45454545454545414,81,81,False,False,False,9.069302082061768
82,82,1,0,3.7923912416686107,0.34441984209093945,4.09090909090909,0.45454545454545414,82,82,False,False,False,9.069302082061768
83,83,0,1,4.7929648567218095,0.45585496564278216,5.0,0.45454545454545414,83,83,False,False,False,9.069302082061768
84,84,0,1,-5.067364307436575,1.5371330634842248,-5.0,1.3636363636363633,84,84,False,False,False,9.069302082061768
85,85,1,0,-3.9735470350710154,1.386823626897625,-4.090909090909091,1.3636363636363633,85,85,False,False,False,9.069302082061768
86,86,0,1,-2.9553331670429177,1.2243036023201874,-3.1818181818181817,1.3636363636363633,86,86,False,False,False,9.069302082061768
87,87,1,0,-2.208442667486061,1.2519091231144603,-2.2727272727272734,1.3636363636363633,87,87,False,False,False,9.069302082061768
88,88,0,1,-1.6401715279368156,1.3189902400986444,-1.3636363636363633,1.3636363636363633,88,88,False,False,False,9.069302082061768
89,89,1,0,-0.8195356065036687,1.236328782120859,-0.45454545454545503,1.3636363636363633,89,89,False,False,False,9.069302082061768
90,90,0,1,0.27182142599512815,1.2073058701078008,0.45454545454545414,1.3636363636363633,90,90,False,False,False,9.069302082061768
91,91,1,0,1.1305225709727225,1.2387130877337373,1.3636363636363633,1.3636363636363633,91,91,False,False,False,9.069302082061768
92,92,0,1,1.9021422509249177,1.38472225545563,2.2727272727272734,1.3636363636363633,92,92,False,False,False,9.069302082061768
93,93,1,0,2.9877303904699968,1.3969577805619284,3.1818181818181817,1.3636363636363633,93,93,False,False,False,9.069302082061768
94,94,0,1,3.9648297619343253,1.3337062929605583,4.09090909090909,1.3636363636363633,94,94,False,False,False,9.069302082061768
95,95,1,0,4.846042975104613,1.3314041397916956,5.0,1.3636363636363633,95,95,False,False,False,9.069302082061768
96,96,1,0,-5.136334269238359,2.4507026521903175,-5.0,2.2727272727272734,96,96,False,False,False,9.069302082061768
97,97,0,1,-3.9235507311095636,2.277793296881441,-4.090909090909091,2.2727272727272734,97,97,False,False,False,9.069302082061768
98,98,1,0,-2.926745052623101,2.172288829422003,-3.1818181818181817,2.2727272727272734,98,98,False,False,False,9.069302082061768
99,99,0,1,-2.131030236108117,2.1909693075986887,-2.2727272727272734,2.2727272727272734,99,99,False,False,False,9.069302082061768
100,100,1,0,-1.4766422916798785,2.23828555501912,-1.3636363636363633,2.2727272727272734,100,100,False,False,False,9.069302082061768
101,101,0,1,-0.7397666603197735,2.1160269085126693,-0.45454545454545503,2.2727272727272734,101,101,False,False,False,9.069302082061768
102,102,1,0,0.2252285832927967,2.151422653548247,0.45454545454545414,2.2727272727272734,102,102,False,False,False,9.069302082061768
103,103,0,1,1.1967503636331305,2.2786759624503983,1.3636363636363633,2.2727272727272734,103,103,False,False,False,9.069302082061768
104,104,1,0,2.203453715958922,2.369585733657958,2.2727272727272734,2.2727272727272734,104,104,False,False,False,9.069302082061768
105,105,0,1,3.308381343811199,2.3544207098312935,3.1818181818181817,2.2727272727272734,105,105,False,False,False,9.069302082061768
106,106,1,0,4.227589638050803,2.2267509665408003,4.09090909090909,2.2727272727272734,106,106,False,False,False,9.069302082061768
107,107,0,1,4.953475646281396,1.9928796963525404,5.0,2.2727272727272734,107,107,False,False,False,9.069302082061768
108,108,0,1,-5.060738574614319,3.1982851155939205,-5.0,3.1818181818181817,108,108,False,False,False,9.069302082061768
109,109,1,0,-3.9331421843742396,3.14143672032818,-4.090909090909091,3.1818181818181817,109,109,False,False,False,9.069302082061768
110,110,0,1,-3.1432174261287593,3.051149768776167,-3.1818181818181817,3.1818181818181817,110,110,False,False,False,9.069302082061768
111,111,1,0,-2.2497775268462448,3.0118527889854327,-2.2727272727272734,3.1818181818181817,111,111,False,False,False,9.069302082061768
112,112,0,1,-1.4316552537787164,3.0165506423616044,-1.3636363636363633,3.1818181818181817,112,112,False,False,False,9.069302082061768
113,113,1,0,-0.5783004927447992,2.9251881162966793,-0.45454545454545503,3.1818181818181817,113,113,False,False,False,9.069302082061768
114,114,0,1,0.3058860244667514,3.031681677525164,0.45454545454545414,3.1818181818181817,114,114,False,False,False,9.069302082061768
115,115,1,0,1.2824584651192712,3.18399740866397,1.3636363636363633,3.1818181818181817,115,115,False,False,False,9.069302082061768
116,116,0,1,2.417921669089484,3.2009149176987,2.2727272727272734,3.1818181818181817,116,116,False,False,False,9.069302082061768
117,117,1,0,3.472928629535593,3.1397982760548864,3.1818181818181817,3.1818181818181817,117,117,False,False,False,9.069302082061768
118,118,0,1,4.390844559947375,3.0823520322385676,4.09090909090909,3.1818181818181817,118,118,False,False,False,9.069302082061768
119,119,1,0,5.149951857787913,2.9925210740779544,5.0,3.1818181818181817,119,119,False,False,False,9.069302082061768
120,120,1,0,-5.105967835836752,3.884505316577595,-5.0,4.09090909090909,120,120,False,False,False,9.069302082061768
121,121,0,1,-4.159408601410343,4.088722240782756,-4.090909090909091,4.09090909090909,121,121,False,False,False,9.069302082061768
122,122,1,0,-3.2479633149094482,4.0412836711541065,-3.1818181818181817,4.09090909090909,122,122,False,False,False,9.069302082061768
123,123,0,1,-2.160906206618339,3.9007740085327463,-2.2727272727272734,4.09090909090909,123,123,False,False,False,9.069302082061768
124,124,1,0,-1.383929654366817,3.891370963302375,-1.3636363636363633,4.09090909090909,124,124,False,False,False,9.069302082061768
125,125,0,1,-0.5226012825939508,3.8852153355637427,-0.45454545454545503,4.09090909090909,125,125,False,False,False,9.069302082061768
126,126,1,0,0.3886091116347856,3.9429024321321915,0.45454545454545414,4.09090909090909,126,126,False,False,False,9.069302082061768
127,127,0,1,1.3426838562686036,4.013086797977346,1.3636363636363633,4.09090909090909,127,127,False,False,False,9.069302082061768
128,128,1,0,2.3584087232283686,4.051240882986223,2.2727272727272734,4.09090909090909,128,128,False,False,False,9.069302082061768
129,129,0,1,3.2842170238135022,4.113880029887406,3.1818181818181817,4.09090909090909,129,129,False,False,False,9.069302082061768
130,130,1,0,4.1712639569490015,4.096147365502675,4.09090909090909,4.09090909090909,130,130,False,False,False,9.069302082061768
131,131,0,1,4.959373508311836,4.071394835094869,5.0,4.09090909090909,131,131,False,False,False,9.069302082061768
132,132,0,1,-5.107125372048449,4.830220451525252,-5.0,5.0,132,132,False,False,False,9.069302082061768
133,133,1,0,-4.272882093910129,5.018557760796524,-4.090909090909091,5.0,133,133,False,False,False,9.069302082061768
134,134,0,1,-3.2670656250845633,4.88380019365909,-3.1818181818181817,5.0,134,134,False,False,False,9.069302082061768
135,135,1,0,-2.283309872097602,4.775651029552575,-2.2727272727272734,5.0,135,135,False,False,False,9.069302082061768
136,136,0,1,-1.5352822948272795,4.832301271147189,-1.3636363636363633,5.0,136,136,False,False,False,9.069302082061768
137,137,1,0,-0.5855733024928478,4.910517985118949,-0.45454545454545503,5.0,137,137,False,False,False,9.069302082061768
138,138,0,1,0.4265629521972807,4.983832631875936,0.45454545454545414,5.0,138,138,False,False,False,9.069302082061768
139,139,1,0,1.3350164664015267,5.108249307261442,1.3636363636363633,5.0,139,139,False,False,False,9.069302082061768
140,140,0,1,2.2202365556291266,5.0729849862569285,2.2727272727272734,5.0,140,140,False,False,False,9.069302082061768
141,141,1,0,3.1221581269916463,5.0100575173039505,3.1818181818181817,5.0,141,141,False,False,False,9.069302082061768
142,142,0,1,4.067386124601441,4.931255823044561,4.09090909090909,5.0,142,142,False,False,False,9.069302082061768
143,143,1,0,4.806046585813798,4.836433613669721,5.0,5.0,143,143,False,False,False,9.069302082061768
